 +--------------------------------------------------------------------------------------------------------+
 | Location                                        |   Total  |       Mean      |   rms   |  min |   max  |
 +--------------------------------------------------------------------------------------------------------+
 |  Calo/RawEvent                                  |     5000 |      50         |         |      |        |
 |  HC/RawEvent                                    |      100 |       1         |         |      |        |
 |  Muon/RawEvent                                  |     1400 |      14         |         |      |        |
 |  Rec/Header                                     |      100 |       1         |         |      |        |
 |  Rec/Status                                     |      100 |       1         |         |      |        |
 |  Rec/Summary                                    |      100 |       1         |         |      |        |
 |  Rich/RawEvent                                  |     2400 |      24         |         |      |        |
 |  Tracker/RawEvent                               |    13800 |     138         |         |      |        |
 |  Trigger/RawEvent                               |     1800 |      18         |         |      |        |
 |  Turbo/Hlt2/pRec/Downstream/PID/MuonSegments    |      138 |     1.4+-0.4    | 3.6     |    0 | 28     |
 |  Turbo/Hlt2/pRec/Downstream/Protos              |      291 |     2.9+-0.7    | 6.9     |    0 | 41     |
 |  Turbo/Hlt2/pRec/Downstream/RichPIDs            |      278 |     2.8+-0.7    | 6.7     |    0 | 38     |
 |  Turbo/Hlt2/pRec/Downstream/Tracks              |      291 |     2.9+-0.7    | 6.9     |    0 | 41     |
 |  Turbo/Hlt2/pRec/IT/Clusters                    |     2490 |    24.9+-5.6    | 56.4    |    0 | 306    |
 |  Turbo/Hlt2/pRec/Long/MuonIDs                   |     1037 |    10.4+-2.0    | 20.3    |    1 | 131    |
 |  Turbo/Hlt2/pRec/Long/Protos                    |      972 |     9.7+-1.8    | 18.5    |    0 | 112    |
 |  Turbo/Hlt2/pRec/Long/RichPIDs                  |      937 |     9.4+-1.8    | 17.7    |    0 | 109    |
 |  Turbo/Hlt2/pRec/Long/Tracks                    |      972 |     9.7+-1.8    | 18.5    |    0 | 112    |
 |  Turbo/Hlt2/pRec/Neutral/CaloClusters           |     1656 |    16.6+-3.8    | 38.4    |    0 | 210    |
 |  Turbo/Hlt2/pRec/Neutral/EcalAdcs               |      100 |       1         |         |      |        |
 |  Turbo/Hlt2/pRec/Neutral/EcalDigits             |      100 |       1         |         |      |        |
 |  Turbo/Hlt2/pRec/Neutral/EcalSplitClusters      |       92 |     0.9+-0.3    | 2.5     |    0 | 14     |
 |  Turbo/Hlt2/pRec/Neutral/Electrons              |      747 |     7.5+-1.6    | 16.3    |    0 | 118    |
